Acc,Pre,Rec,F1,IOU,Adaptive,Pretrain,Freezed encoder,Training Set (%)
0.968,0.974,0.954,0.964,0.930,NO,NO,NO,50.0%
0.952,0.974,0.914,0.943,0.893,NO,SI,NO,50.0%
0.967,0.977,0.947,0.962,0.927,NO,SI,SI,50.0%
0.961,0.951,0.960,0.956,0.915,SI,NO,NO,50.0%
0.964,0.975,0.942,0.958,0.920,SI,SI,NO,50.0%
0.942,0.957,0.911,0.933,0.875,SI,SI,SI,50.0%
0.960,0.974,0.934,0.954,0.911,NO,NO,NO,75.0%
0.958,0.976,0.927,0.951,0.906,NO,SI,NO,75.0%
0.969,0.979,0.950,0.964,0.931,NO,SI,SI,75.0%
0.970,0.966,0.965,0.966,0.934,SI,NO,NO,75.0%
0.966,0.974,0.948,0.961,0.925,SI,SI,NO,75.0%
0.943,0.958,0.912,0.934,0.876,SI,SI,SI,75.0%
0.954,0.971,0.923,0.946,0.898,NO,NO,NO,100.0%
0.968,0.975,0.951,0.963,0.929,NO,SI,NO,100.0%
0.969,0.979,0.951,0.965,0.932,NO,SI,SI,100.0%
0.972,0.973,0.962,0.968,0.937,SI,NO,NO,100.0%
0.972,0.971,0.966,0.969,0.939,SI,SI,NO,100.0%
0.941,0.958,0.907,0.932,0.872,SI,SI,SI,100.0%
