Acc,Pre,Rec,F1,IOU,Adaptive,Pretrain,Freezed encoder,Training Set (%)
0.931,0.969,0.873,0.918,0.849,NO,NO,NO,50.0%
0.952,0.979,0.910,0.943,0.893,NO,SI,NO,50.0%
0.968,0.979,0.948,0.963,0.930,NO,SI,SI,50.0%
0.949,0.970,0.911,0.940,0.887,SI,NO,NO,50.0%
0.959,0.966,0.940,0.952,0.909,SI,SI,NO,50.0%
0.946,0.963,0.912,0.937,0.881,SI,SI,SI,50.0%
0.928,0.970,0.863,0.913,0.840,NO,NO,NO,75.0%
0.963,0.978,0.937,0.957,0.918,NO,SI,NO,75.0%
0.970,0.978,0.954,0.966,0.934,NO,SI,SI,75.0%
0.957,0.974,0.927,0.950,0.905,SI,NO,NO,75.0%
0.954,0.959,0.936,0.948,0.901,SI,SI,NO,75.0%
0.946,0.963,0.913,0.937,0.882,SI,SI,SI,75.0%
0.942,0.961,0.904,0.932,0.872,NO,NO,NO,100.0%
0.970,0.975,0.956,0.965,0.933,NO,SI,NO,100.0%
0.971,0.975,0.959,0.967,0.936,NO,SI,SI,100.0%
0.951,0.970,0.918,0.943,0.892,SI,NO,NO,100.0%
0.971,0.972,0.962,0.967,0.936,SI,SI,NO,100.0%
0.946,0.962,0.913,0.937,0.881,SI,SI,SI,100.0%
